Date,Price,Open,High,Low,Change
08/09/2021,4432.35,4437.77,4439.39,4424.74,-0.0009
08/10/2021,4436.75,4435.79,4445.21,4430.03,0.001
08/11/2021,4447.7,4442.18,4449.44,4436.42,0.0025
08/12/2021,4460.84,4446.08,4461.77,4435.96,0.003
08/13/2021,4468,4464.84,4468.37,4460.82,0.0016
08/16/2021,4479.66,4461.65,4480.26,4437.66,0.0026
08/17/2021,4448.08,4462.12,4462.12,4417.83,-0.007
08/18/2021,4400.27,4440.94,4454.32,4397.59,-0.0107
08/19/2021,4405.8,4382.44,4418.61,4367.73,0.0013
08/20/2021,4441.67,4410.56,4444.35,4406.8,0.0081
08/23/2021,4479.54,4450.29,4489.88,4450.29,0.0085
08/24/2021,4486.23,4484.4,4492.81,4482.28,0.0015
08/25/2021,4496.19,4490.45,4501.71,4485.66,0.0022
08/26/2021,4469.91,4493.75,4495.9,4468.99,-0.0058
08/27/2021,4509.37,4474.1,4513.33,4474.1,0.0088
08/30/2021,4528.79,4513.76,4537.36,4513.76,0.0043
08/31/2021,4522.68,4529.75,4531.39,4515.8,-0.0013
09/01/2021,4524.09,4528.8,4537.11,4522.02,0.0003
09/02/2021,4536.95,4534.48,4545.85,4524.66,0.0028
09/03/2021,4535.43,4532.42,4541.45,4521.3,-0.0003
09/07/2021,4520.03,4535.38,4535.38,4513,-0.0034
09/08/2021,4514.07,4518.09,4521.79,4493.95,-0.0013
09/09/2021,4493.28,4513.02,4529.9,4492.07,-0.0046
09/10/2021,4458.58,4506.92,4520.47,4457.66,-0.0077
09/13/2021,4468.73,4474.81,4492.99,4445.7,0.0023
09/14/2021,4443.05,4479.33,4485.68,4435.46,-0.0057
09/15/2021,4480.7,4447.49,4486.87,4438.37,0.0085
09/16/2021,4473.76,4477.09,4485.87,4443.8,-0.0015
09/17/2021,4432.99,4469.74,4471.52,4427.76,-0.0091
09/20/2021,4357.73,4402.95,4402.95,4305.91,-0.017
09/21/2021,4354.18,4374.45,4394.87,4347.96,-0.0008
09/22/2021,4395.64,4367.43,4416.75,4367.43,0.0095
09/23/2021,4448.98,4406.75,4465.4,4406.75,0.0121
09/24/2021,4455.48,4438.04,4463.12,4430.27,0.0015
09/27/2021,4443.11,4442.12,4457.3,4436.19,-0.0028
09/28/2021,4352.63,4419.54,4419.54,4346.33,-0.0204
09/29/2021,4359.46,4362.41,4385.57,4355.08,0.0016
09/30/2021,4307.54,4370.67,4382.55,4306.24,-0.0119
10/01/2021,4357.05,4317.16,4375.19,4288.52,0.0115
10/04/2021,4300.46,4348.84,4355.51,4278.94,-0.013
10/05/2021,4345.72,4309.87,4369.23,4309.87,0.0105
10/06/2021,4363.55,4319.57,4365.57,4290.49,0.0041
10/07/2021,4399.76,4383.73,4429.97,4383.73,0.0083
10/08/2021,4391.36,4406.51,4412.02,4386.22,-0.0019
10/11/2021,4361.19,4385.44,4415.88,4360.59,-0.0069
